"word","freq"
"신동",1
"신동근",1
"신모",1
"신문",1
"신발",2
"신선미",1
"신설",1
"신원",5
"신유",1
"신의한수",14
"신임",2
"신장",3
"신조어",1
"신통",1
"신형",1
"실명",1
"실세",1
"실수",1
"실시간",4
"실적",1
"실정",1
"실종",6
"실체",1
"실패했",1
"실화",8
"실화On",5
"실화Pick",4
"실황",2
"심각",2
"심야",2
"심장",1
"심층분석",1
"싱글",1
"싸꼰_LIVE",2
"싸움났다",1
"싼샤",1
"쌍둥이",1
"아기",1
"아들",23
"아미",1
"아버지",5
"아베",3
"아비규환",1
"아웃",1
"아이",1
"아이티",2
"아찔",2
"아침",2
"아카데미",1
"아파",1
"아파트",4
"아프간",2
"악수",1
"악화",2
"안거",1
"안나",1
"안동MB",1
"안민석",2
"안부",1
"안산",1
"안산시민",1
"안익태",1
"안전",1
"안중",1
"안중근",2
"안줘도",1
"안진",1
"안철수",2
"알리바이",1
"알림설정",1
"암살",1
"압박",1
"압살",1
"압수수색",1
"앞차",1
"애국",1
"애플",1
"액면",1
"앨범",1
"앵그리",1
"야구",1
"야비",1
"약대",1
"약속",1
"약탈",1
"양궁",2
"양극화",1
"양념",1
"양모",1
"양성",1
"양승조",2
"양육비",1
"양주",1
"양지",2
"양쯔강",1
"어머니",3
"어제",1
"어처구니",1
"어택",3
"억울",1
"억지",1
"언급",2
"언론",5
"언제",2
"얼굴",2
"얼마",1
"엄마",4
"엄중",1
"엄지척",1
"업무",2
"업적",1
"없습니",1
"에서",1
"에프앤이노에듀",1
"여고",1
"여고생",1
"여럿",1
"여론",2
"여성",1
"여우",1
"여자",1
"여정",1
"여행",1
"역대",1
"역린",1
"역사",2
"역사상",1
"역술가",1
"역전",1
"연구소",1
"연금",1
"연대장",1
"연례",1
"연봉5억",1
"연설",3
"연속",1
"연장",2
"연합뉴스",3
"연합뉴스TV",3
"열광",1
"열병식",1
"열풍",1
"염블리",9
"염블리가",2
"염승",18
"염승환ㅡ남들은",1
"염태영",2
"영결식",1
"영농",1
"영면",1
"영상",28
"영수회담",1
"영업",1
"영웅",1
"영의",2
"영철",2
"영탁vs예천양조",1
"영향",1
"예방",1
"예비",1
"예상",2
"예약",1
"예우",1
"예찬",1
"예측",3
"오늘",4
"오리지널",1
"오목",1
"오미크론",1
"오수정",1
"오아시스",1
"오염수",1
"오전",5
"오징어",1
"오후",2
"온가족",1
"온라인",1
"온마",3
"올림픽",1
"올해",1
"올해안",1
"옮겨붙을까",1
"와이",1
"와중",2
"완벽",2
"완전",1
"완치",1
"완화",1
"왜이",1
"왜이러지왜이러지",1
"외국",6
"외신기자",1
"요구",1
"용산",1
"우금",1
"우동",1
"우리",4
"우상호",1
"우주",1
"우파",1
"운명",1
"울먹",1
"웃음",2
"원금",4
"원망",1
"원인",1
"원주민",1
"원천무효",1
"원희룡",2
"월급",1
"월급빼서",1
"월달",1
"월북",1
"월선",1
"월세",1
"월요일",4
"위기",2
"위력",2
"위반",2
"위원",1
"위원장",2
"유감",1
"유노윤호",1
"유러피안",1
"유사",1
"유승안",1
"유언장",1
"유엔",1
"유인태",1
"유지",1
"유출",1
"유키",1
"유튜버",1
"육성",2
"윤건영",1
"윤미향",3
"윤석열",9
"윤석열과",1
"윤석열이",1
"윤성은",1
"윤여정",1
"윤영찬",1
"윤영찬과",1
"윤창",1
"윤태호",1
"윤호중",1
"윤화섭",1
"윤희",1
"은닉",1
"은폐",1
"을왕리",2
"음식",1
"음악",1
"음압",1
"응시",1
"의대",2
"의대생",3
"의도",1
"의료계",3
"의문",2
"의사",10
"의사협회",3
"의심",1
"의원",11
"의협",3
"의혹",7
"의혹제기1",1
"이강인",1
"이거",1
"이건희",4
"이게아닌데",1
"이낙연",5
"이닝",1
"이다영",1
"이동",1
"이동원",1
"이럴",1
"이롭",1
"이름",1
"이명박",2
"이번",1
"이번주유독떨리네요",1
"이부",1
"이부진",1
"이상직",1
"이상한",1
"이상호",2
"이상훈",1
"이송",1
"이순철",1
"이슈",5
"이슈워치",1
"이승",1
"이야기",6
"이에",1
"이영주",1
"이요",1
"이용",1
"이유",10
"이유진",1
"이은재",1
"이인영",1
"이재갑",3
"이재명",8
"이재영",1
"이재용",1
"이정현",2
"이정환",1
"이주민",1
"이준석",2
"이철원",1
"이철희",1
"이태규",1
"이택수",2
"이틀",2
"이항",1
"이해",1
"이해찬",1
"이현진",1
"이호승",2
"이효리",1
"이후",1
"이희수",1
"익사",1
"인도",3
"인물",1
"인사",1
"인생",1
"인천",1
"인터뷰",6
"인파",1
"인피니트",1
"인피니티투자",2
"일가",1
"일반사병",1
"일본",10
"일제",1
"일종",1
"일침",2
"일파만파",1
"임대",1
"임명",1
"임명장",3
"임영",1
"임은",1
"임재",1
"임질",1
"입수",6
"입양",1
"입장",2
"자금줄",1
"자기도취",1
"자동차",1
"자리",1
"자막",1
"자문",2
"자발적",1
"자산",2
"자산운용",2
"자살",2
"자수",1
"자승자박",1
"자연",1
"자영업",1
"자영업자",1
"자유",2
"자이",1
"자이앤트",7
"자이앤트T",1
"작렬",1
"작업",1
"작전",2
"잔꾀",1
"잔치",1
"잘못",1
"잠이나vs검찰개혁",1
"잠적",1
"잡스",1
"잡식",3
"잡았",1
"장관",16
"장녀",1
"장면",1
"장모",1
"장병",1
"장성",1
"장세",3
"장영",1
"장용진",2
"재구성",1
"재난",4
"재난지",6
"재무부",1
"재산",3
"재수감",1
"재시험",1
"재테크",1
"재판",2
"쟁패",1
"저격",2
"저널",4
"적격",1
"전격",5
"전공",2
"전광훈",26
"전국",2
"전국민",2
"전기",2
"전남편",1
"전대",1
"전락",1
"전략",1
"전무",5
"전문",1
"전문가",3
"전반부",4
"전복",1
"전북",2
"전세",1
"전세계",2
"전역",1
"전자상가",1
"전장",1
"전쟁",3
"전주혜",1
"전투",1
"전투기",2
"전화",9
"절친",1
"접근",2
"접수",1
"접전",1
"접촉자",1
"정강정책",1
"정경",1
"정광용T",3
"정국",3
"정권",5
"정규",1
"정규재",23
"정도",1
"정론",4
"정리",4
"정면",1
"정면충돌",1
"정민",1
"정부",4
"정상",2
"정상회담",1
"정세균",2
"정영",1
"정우성",1
"정은경",6
"정의당",2
"정인",2
"정준희",1
"정찰기",1
"정책",1
"정청래",3
"정치",23
"정치권",1
"정치인",1
"정치자금법",1
"정형",1
"정황",1
"제1회",1
"제72주년",1
"제8호",1
"제명",2
"제보",4
"제보자",4
"제안",2
"제이홉",1
"제일",3
"제출",1
"제한",2
"조국",5
"조명",1
"조문",1
"조병학",1
"조선일보",2
"조수진",5
"조연상",1
"조용",1
"조우",1
"조은",2
"조작",2
"조정",2
"조정장",1
"조해진",1
"조희연",1
"존경",1
"존슨",1
"존재",1
"좀^ㅋ",1
"종간나",1
"종교",2
"종목",4
"종합",1
"죄송",3
"주년",3
"주님저도갑니다",1
"주라",1
"주목",2
"주민",4
"주식",5
"주식영끌",1
"주식왕",5
"주영",1
"주옥순TV",1
"주의",2
"주인",1
"주장",1
"주저",1
"주점",1
"주제",1
"주진우",3
"주차장",1
"주호영",8
"주ㅣ웃으며",1
"죽였",1
"죽음",1
"준비",3
"준우승",1
"준전문가",1
"중국",5
"중단",1
"중대",1
"중령",1
"중심",2
"중요",1
"중헌",2
"증거",1
"증거인멸",1
"증권",1
"증시",4
"증언",1
"증원",1
"지검",3
"지금",4
"지급",3
"지도",1
"지도자",1
"지드래곤",1
"지사",1
"지속",1
"지속가능",1
"지시",1
"지역",2
"지오다노",1
"지옥",1
"지원",2
"지원단",1
"지지율",5
"지지자",1
"지하철",1
"직격",1
"직격했나",1
"직구",3
"진격",1
"진경",1
"진급",1
"진단",1
"진동",1
"진료기록",1
"진보정당",1
